date,slot,time_local,mill_kW,press_kW,total_load_kW,price_eur_mwh,cost_eur,housings,modules,pickup
2024-01-02,0,08:00,1.8638,9.5021,11.3659,65.67,0.1866,20.0,30.0,0.0
2024-01-02,1,08:15,6.7293,17.0147,23.744,65.67,0.389816,20.0,30.0,0.0
2024-01-02,2,08:30,5.9956,17.1381,23.1337,65.67,0.379797,20.0,30.0,0.0
2024-01-02,3,08:45,7.1179,16.0793,23.1972,65.67,0.38084,20.0,30.0,0.0
2024-01-02,4,09:00,6.1091,3.2115,9.3206,64.73,0.15083,20.0,30.0,0.0
2024-01-02,5,09:15,5.6324,0.0,5.6324,64.73,0.091147,20.0,70.0,0.0
2024-01-02,6,09:30,5.8458,0.0,5.8458,64.73,0.0946,20.0,70.0,0.0
2024-01-02,7,09:45,5.1816,0.0,5.1816,64.73,0.083851,20.0,70.0,0.0
2024-01-02,8,10:00,6.7301,0.0,6.7301,68.98,0.116061,20.0,70.0,0.0
2024-01-02,9,10:15,3.9878,0.0,3.9878,68.98,0.06877,20.0,70.0,0.0
2024-01-02,10,10:30,1.8638,9.5021,11.3659,68.98,0.196006,80.0,70.0,0.0
2024-01-02,11,10:45,6.7293,17.0147,23.744,68.98,0.409464,80.0,70.0,0.0
2024-01-02,12,11:00,5.9956,17.1381,23.1337,73.54,0.425313,80.0,70.0,0.0
2024-01-02,13,11:15,7.1179,16.0793,23.1972,73.54,0.42648,80.0,70.0,0.0
2024-01-02,14,11:30,6.1091,3.2115,9.3206,73.54,0.171358,80.0,70.0,0.0
2024-01-02,15,11:45,5.6324,9.5021,15.1345,73.54,0.278249,40.0,110.0,0.0
2024-01-02,16,12:00,5.8458,17.0147,22.8605,78.16,0.446694,40.0,110.0,0.0
2024-01-02,17,12:15,5.1816,17.1381,22.3197,78.16,0.436126,40.0,110.0,0.0
2024-01-02,18,12:30,6.7301,16.0793,22.8094,78.16,0.445695,40.0,110.0,0.0
2024-01-02,19,12:45,3.9878,3.2115,7.1993,78.16,0.140674,40.0,110.0,0.0
2024-01-02,20,13:00,1.8638,9.5021,11.3659,78.87,0.224108,100.0,150.0,0.0
2024-01-02,21,13:15,6.7293,17.0147,23.744,78.87,0.468171,100.0,150.0,0.0
2024-01-02,22,13:30,5.9956,17.1381,23.1337,78.87,0.456138,100.0,150.0,0.0
2024-01-02,23,13:45,7.1179,16.0793,23.1972,78.87,0.45739,100.0,150.0,0.0
2024-01-02,24,14:00,6.1091,3.2115,9.3206,79.24,0.18464,100.0,150.0,0.0
2024-01-02,25,14:15,5.6324,9.5021,15.1345,79.24,0.299815,60.0,190.0,0.0
2024-01-02,26,14:30,5.8458,17.0147,22.8605,79.24,0.452866,60.0,190.0,0.0
2024-01-02,27,14:45,5.1816,17.1381,22.3197,79.24,0.442153,60.0,190.0,0.0
2024-01-02,28,15:00,6.7301,16.0793,22.8094,79.96,0.45596,60.0,0.0,190.0
2024-01-02,29,15:15,3.9878,3.2115,7.1993,79.96,0.143914,60.0,0.0,0.0
2024-01-02,30,15:30,0.0,9.5021,9.5021,79.96,0.189947,120.0,40.0,0.0
2024-01-02,31,15:45,0.0,17.0147,17.0147,79.96,0.340123,120.0,40.0,0.0
2024-01-02,32,16:00,0.0,17.1381,17.1381,83.46,0.357586,120.0,40.0,0.0
2024-01-02,33,16:15,0.0,16.0793,16.0793,83.46,0.335494,120.0,40.0,0.0
2024-01-02,34,16:30,0.0,3.2115,3.2115,83.46,0.067008,120.0,40.0,0.0
2024-01-02,35,16:45,0.0,9.5021,9.5021,83.46,0.198261,80.0,80.0,0.0
2024-01-02,36,17:00,0.0,17.0147,17.0147,80.92,0.344207,80.0,80.0,0.0
2024-01-02,37,17:15,0.0,17.1381,17.1381,80.92,0.346704,80.0,80.0,0.0
2024-01-02,38,17:30,0.0,16.0793,16.0793,80.92,0.325284,80.0,80.0,0.0
2024-01-02,39,17:45,0.0,3.2115,3.2115,80.92,0.064968,80.0,80.0,0.0
2024-01-02,40,18:00,0.0,9.5021,9.5021,74.95,0.178045,40.0,120.0,0.0
2024-01-02,41,18:15,0.0,17.0147,17.0147,74.95,0.318812,40.0,120.0,0.0
2024-01-02,42,18:30,0.0,17.1381,17.1381,74.95,0.321125,40.0,120.0,0.0
2024-01-02,43,18:45,0.0,16.0793,16.0793,74.95,0.301286,40.0,120.0,0.0
2024-01-02,44,19:00,0.0,3.2115,3.2115,63.18,0.050725,40.0,120.0,0.0
2024-01-02,45,19:15,0.0,0.0,0.0,63.18,0.0,40.0,160.0,0.0
2024-01-02,46,19:30,0.0,0.0,0.0,63.18,0.0,40.0,160.0,0.0
2024-01-02,47,19:45,0.0,0.0,0.0,63.18,0.0,40.0,160.0,0.0
2024-01-02,48,20:00,0.0,0.0,0.0,57.11,0.0,40.0,160.0,0.0
2024-01-02,49,20:15,0.0,0.0,0.0,57.11,0.0,40.0,160.0,0.0
2024-01-02,50,20:30,0.0,0.0,0.0,57.11,0.0,40.0,160.0,0.0
2024-01-02,51,20:45,0.0,0.0,0.0,57.11,0.0,40.0,160.0,0.0
2024-01-02,52,21:00,0.0,0.0,0.0,46.89,0.0,40.0,160.0,0.0
2024-01-02,53,21:15,0.0,0.0,0.0,46.89,0.0,40.0,160.0,0.0
2024-01-02,54,21:30,0.0,0.0,0.0,46.89,0.0,40.0,160.0,0.0
2024-01-02,55,21:45,0.0,0.0,0.0,46.89,0.0,40.0,30.0,130.0
2024-01-03,0,08:00,1.8638,9.5021,11.3659,59.61,0.169381,0.0,30.0,0.0
2024-01-03,1,08:15,6.7293,17.0147,23.744,59.61,0.353844,0.0,30.0,0.0
2024-01-03,2,08:30,5.9956,17.1381,23.1337,59.61,0.34475,0.0,30.0,0.0
2024-01-03,3,08:45,7.1179,16.0793,23.1972,59.61,0.345696,0.0,30.0,0.0
2024-01-03,4,09:00,6.1091,3.2115,9.3206,60.61,0.14123,0.0,30.0,0.0
2024-01-03,5,09:15,5.6324,0.0,5.6324,60.61,0.085346,0.0,70.0,0.0
2024-01-03,6,09:30,5.8458,0.0,5.8458,60.61,0.088579,0.0,70.0,0.0
2024-01-03,7,09:45,5.1816,0.0,5.1816,60.61,0.078514,0.0,70.0,0.0
2024-01-03,8,10:00,6.7301,0.0,6.7301,57.0,0.095904,0.0,70.0,0.0
2024-01-03,9,10:15,3.9878,0.0,3.9878,57.0,0.056826,0.0,70.0,0.0
2024-01-03,10,10:30,1.8638,9.5021,11.3659,57.0,0.161965,60.0,70.0,0.0
2024-01-03,11,10:45,6.7293,17.0147,23.744,57.0,0.338351,60.0,70.0,0.0
2024-01-03,12,11:00,5.9956,17.1381,23.1337,54.89,0.317452,60.0,70.0,0.0
2024-01-03,13,11:15,7.1179,16.0793,23.1972,54.89,0.318323,60.0,70.0,0.0
2024-01-03,14,11:30,6.1091,3.2115,9.3206,54.89,0.127901,60.0,70.0,0.0
2024-01-03,15,11:45,5.6324,9.5021,15.1345,54.89,0.207684,20.0,110.0,0.0
2024-01-03,16,12:00,5.8458,17.0147,22.8605,53.89,0.307988,20.0,110.0,0.0
2024-01-03,17,12:15,5.1816,17.1381,22.3197,53.89,0.300702,20.0,110.0,0.0
2024-01-03,18,12:30,6.7301,16.0793,22.8094,53.89,0.307299,20.0,110.0,0.0
